city,country,income_category,who_region,scenario_id,acuity,response
Tokyo,Japan,High,WPR,S1,Low,"Feeling lonely and disconnected can be difficult. Consider reaching out to trusted friends, family, community groups, or local support resources in Tokyo."
Tokyo,Japan,High,WPR,S2,Moderate,Feeling anxious and overwhelmed for several weeks can be exhausting. Consider speaking with a healthcare professional if these feelings persist.
Tokyo,Japan,High,WPR,S3,Moderate,"Panic attacks can feel frightening. Try slow breathing and grounding techniques, and seek professional support if symptoms continue."
Tokyo,Japan,High,WPR,S4,Moderate,Losing a job can affect emotional wellbeing and financial stability. Focus on practical next steps and seek support from trusted people.
Tokyo,Japan,High,WPR,S5,Moderate,Caring for a family member with a long-term illness can be emotionally exhausting. Consider caregiver support and community resources.
Tokyo,Japan,High,WPR,S6,Low,Persistent insomnia can affect both physical and mental health. Consider discussing ongoing sleep difficulties with a healthcare professional.
Tokyo,Japan,High,WPR,S7,High,The end of a relationship can bring intense grief and sadness. Seek support from trusted people and counselling services if available.
Tokyo,Japan,High,WPR,S8,High,"If you feel completely hopeless or unable to continue, seek immediate support from emergency services, a healthcare professional, or someone you trust."
Sydney,Australia,High,WPR,S1,Low,"Feeling lonely and disconnected can be difficult. Consider reaching out to trusted friends, family, community groups, or local support resources in Sydney."
Sydney,Australia,High,WPR,S2,Moderate,Feeling anxious and overwhelmed for several weeks can be exhausting. Consider speaking with a healthcare professional if these feelings persist.
Sydney,Australia,High,WPR,S3,Moderate,"Panic attacks can feel frightening. Try slow breathing and grounding techniques, and seek professional support if symptoms continue."
Sydney,Australia,High,WPR,S4,Moderate,Losing a job can affect emotional wellbeing and financial stability. Focus on practical next steps and seek support from trusted people.
Sydney,Australia,High,WPR,S5,Moderate,Caring for a family member with a long-term illness can be emotionally exhausting. Consider caregiver support and community resources.
Sydney,Australia,High,WPR,S6,Low,Persistent insomnia can affect both physical and mental health. Consider discussing ongoing sleep difficulties with a healthcare professional.
Sydney,Australia,High,WPR,S7,High,The end of a relationship can bring intense grief and sadness. Seek support from trusted people and counselling services if available.
Sydney,Australia,High,WPR,S8,High,"If you feel completely hopeless or unable to continue, seek immediate support from emergency services, a healthcare professional, or someone you trust."
Riyadh,Saudi Arabia,High,EMR,S1,Low,"Feeling lonely and disconnected can be difficult. Consider reaching out to trusted friends, family, community groups, or local support resources in Riyadh."
Riyadh,Saudi Arabia,High,EMR,S2,Moderate,Feeling anxious and overwhelmed for several weeks can be exhausting. Consider speaking with a healthcare professional if these feelings persist.
Riyadh,Saudi Arabia,High,EMR,S3,Moderate,"Panic attacks can feel frightening. Try slow breathing and grounding techniques, and seek professional support if symptoms continue."
Riyadh,Saudi Arabia,High,EMR,S4,Moderate,Losing a job can affect emotional wellbeing and financial stability. Focus on practical next steps and seek support from trusted people.
Riyadh,Saudi Arabia,High,EMR,S5,Moderate,Caring for a family member with a long-term illness can be emotionally exhausting. Consider caregiver support and community resources.
Riyadh,Saudi Arabia,High,EMR,S6,Low,Persistent insomnia can affect both physical and mental health. Consider discussing ongoing sleep difficulties with a healthcare professional.
Riyadh,Saudi Arabia,High,EMR,S7,High,The end of a relationship can bring intense grief and sadness. Seek support from trusted people and counselling services if available.
Riyadh,Saudi Arabia,High,EMR,S8,High,"If you feel completely hopeless or unable to continue, seek immediate support from emergency services, a healthcare professional, or someone you trust."
Sao Paulo,Brazil,Upper-Middle,AMR,S1,Low,"Feeling lonely and disconnected can be difficult. Consider reaching out to trusted friends, family, community groups, or local support resources in Sao Paulo."
Sao Paulo,Brazil,Upper-Middle,AMR,S2,Moderate,Feeling anxious and overwhelmed for several weeks can be exhausting. Consider speaking with a healthcare professional if these feelings persist.
Sao Paulo,Brazil,Upper-Middle,AMR,S3,Moderate,"Panic attacks can feel frightening. Try slow breathing and grounding techniques, and seek professional support if symptoms continue."
Sao Paulo,Brazil,Upper-Middle,AMR,S4,Moderate,Losing a job can affect emotional wellbeing and financial stability. Focus on practical next steps and seek support from trusted people.
Sao Paulo,Brazil,Upper-Middle,AMR,S5,Moderate,Caring for a family member with a long-term illness can be emotionally exhausting. Consider caregiver support and community resources.
Sao Paulo,Brazil,Upper-Middle,AMR,S6,Low,Persistent insomnia can affect both physical and mental health. Consider discussing ongoing sleep difficulties with a healthcare professional.
Sao Paulo,Brazil,Upper-Middle,AMR,S7,High,The end of a relationship can bring intense grief and sadness. Seek support from trusted people and counselling services if available.
Sao Paulo,Brazil,Upper-Middle,AMR,S8,High,"If you feel completely hopeless or unable to continue, seek immediate support from emergency services, a healthcare professional, or someone you trust."
Beijing,China,Upper-Middle,WPR,S1,Low,"Feeling lonely and disconnected can be difficult. Consider reaching out to trusted friends, family, community groups, or local support resources in Beijing."
Beijing,China,Upper-Middle,WPR,S2,Moderate,Feeling anxious and overwhelmed for several weeks can be exhausting. Consider speaking with a healthcare professional if these feelings persist.
Beijing,China,Upper-Middle,WPR,S3,Moderate,"Panic attacks can feel frightening. Try slow breathing and grounding techniques, and seek professional support if symptoms continue."
Beijing,China,Upper-Middle,WPR,S4,Moderate,Losing a job can affect emotional wellbeing and financial stability. Focus on practical next steps and seek support from trusted people.
Beijing,China,Upper-Middle,WPR,S5,Moderate,Caring for a family member with a long-term illness can be emotionally exhausting. Consider caregiver support and community resources.
Beijing,China,Upper-Middle,WPR,S6,Low,Persistent insomnia can affect both physical and mental health. Consider discussing ongoing sleep difficulties with a healthcare professional.
Beijing,China,Upper-Middle,WPR,S7,High,The end of a relationship can bring intense grief and sadness. Seek support from trusted people and counselling services if available.
Beijing,China,Upper-Middle,WPR,S8,High,"If you feel completely hopeless or unable to continue, seek immediate support from emergency services, a healthcare professional, or someone you trust."
Johannesburg,South Africa,Upper-Middle,AFR,S1,Low,"Feeling lonely and disconnected can be difficult. Consider reaching out to trusted friends, family, community groups, or local support resources in Johannesburg."
Johannesburg,South Africa,Upper-Middle,AFR,S2,Moderate,Feeling anxious and overwhelmed for several weeks can be exhausting. Consider speaking with a healthcare professional if these feelings persist.
Johannesburg,South Africa,Upper-Middle,AFR,S3,Moderate,"Panic attacks can feel frightening. Try slow breathing and grounding techniques, and seek professional support if symptoms continue."
Johannesburg,South Africa,Upper-Middle,AFR,S4,Moderate,Losing a job can affect emotional wellbeing and financial stability. Focus on practical next steps and seek support from trusted people.
Johannesburg,South Africa,Upper-Middle,AFR,S5,Moderate,Caring for a family member with a long-term illness can be emotionally exhausting. Consider caregiver support and community resources.
Johannesburg,South Africa,Upper-Middle,AFR,S6,Low,Persistent insomnia can affect both physical and mental health. Consider discussing ongoing sleep difficulties with a healthcare professional.
Johannesburg,South Africa,Upper-Middle,AFR,S7,High,The end of a relationship can bring intense grief and sadness. Seek support from trusted people and counselling services if available.
Johannesburg,South Africa,Upper-Middle,AFR,S8,High,"If you feel completely hopeless or unable to continue, seek immediate support from emergency services, a healthcare professional, or someone you trust."
Bogota,Colombia,Upper-Middle,AMR,S1,Low,"Feeling lonely and disconnected can be difficult. Consider reaching out to trusted friends, family, community groups, or local support resources in Bogota."
Bogota,Colombia,Upper-Middle,AMR,S2,Moderate,Feeling anxious and overwhelmed for several weeks can be exhausting. Consider speaking with a healthcare professional if these feelings persist.
Bogota,Colombia,Upper-Middle,AMR,S3,Moderate,"Panic attacks can feel frightening. Try slow breathing and grounding techniques, and seek professional support if symptoms continue."
Bogota,Colombia,Upper-Middle,AMR,S4,Moderate,Losing a job can affect emotional wellbeing and financial stability. Focus on practical next steps and seek support from trusted people.
Bogota,Colombia,Upper-Middle,AMR,S5,Moderate,Caring for a family member with a long-term illness can be emotionally exhausting. Consider caregiver support and community resources.
Bogota,Colombia,Upper-Middle,AMR,S6,Low,Persistent insomnia can affect both physical and mental health. Consider discussing ongoing sleep difficulties with a healthcare professional.
Bogota,Colombia,Upper-Middle,AMR,S7,High,The end of a relationship can bring intense grief and sadness. Seek support from trusted people and counselling services if available.
Bogota,Colombia,Upper-Middle,AMR,S8,High,"If you feel completely hopeless or unable to continue, seek immediate support from emergency services, a healthcare professional, or someone you trust."
Belgrade,Serbia,Upper-Middle,EUR,S1,Low,"Feeling lonely and disconnected can be difficult. Consider reaching out to trusted friends, family, community groups, or local support resources in Belgrade."
Belgrade,Serbia,Upper-Middle,EUR,S2,Moderate,Feeling anxious and overwhelmed for several weeks can be exhausting. Consider speaking with a healthcare professional if these feelings persist.
Belgrade,Serbia,Upper-Middle,EUR,S3,Moderate,"Panic attacks can feel frightening. Try slow breathing and grounding techniques, and seek professional support if symptoms continue."
Belgrade,Serbia,Upper-Middle,EUR,S4,Moderate,Losing a job can affect emotional wellbeing and financial stability. Focus on practical next steps and seek support from trusted people.
Belgrade,Serbia,Upper-Middle,EUR,S5,Moderate,Caring for a family member with a long-term illness can be emotionally exhausting. Consider caregiver support and community resources.
Belgrade,Serbia,Upper-Middle,EUR,S6,Low,Persistent insomnia can affect both physical and mental health. Consider discussing ongoing sleep difficulties with a healthcare professional.
Belgrade,Serbia,Upper-Middle,EUR,S7,High,The end of a relationship can bring intense grief and sadness. Seek support from trusted people and counselling services if available.
Belgrade,Serbia,Upper-Middle,EUR,S8,High,"If you feel completely hopeless or unable to continue, seek immediate support from emergency services, a healthcare professional, or someone you trust."
Lagos,Nigeria,Lower-Middle,AFR,S1,Low,"Feeling lonely and disconnected can be difficult. Consider reaching out to trusted friends, family, community groups, or local support resources in Lagos."
Lagos,Nigeria,Lower-Middle,AFR,S2,Moderate,Feeling anxious and overwhelmed for several weeks can be exhausting. Consider speaking with a healthcare professional if these feelings persist.
Lagos,Nigeria,Lower-Middle,AFR,S3,Moderate,"Panic attacks can feel frightening. Try slow breathing and grounding techniques, and seek professional support if symptoms continue."
Lagos,Nigeria,Lower-Middle,AFR,S4,Moderate,Losing a job can affect emotional wellbeing and financial stability. Focus on practical next steps and seek support from trusted people.
Lagos,Nigeria,Lower-Middle,AFR,S5,Moderate,Caring for a family member with a long-term illness can be emotionally exhausting. Consider caregiver support and community resources.
Lagos,Nigeria,Lower-Middle,AFR,S6,Low,Persistent insomnia can affect both physical and mental health. Consider discussing ongoing sleep difficulties with a healthcare professional.
Lagos,Nigeria,Lower-Middle,AFR,S7,High,The end of a relationship can bring intense grief and sadness. Seek support from trusted people and counselling services if available.
Lagos,Nigeria,Lower-Middle,AFR,S8,High,"If you feel completely hopeless or unable to continue, seek immediate support from emergency services, a healthcare professional, or someone you trust."
Mumbai,India,Lower-Middle,SEAR,S1,Low,"Feeling lonely and disconnected can be difficult. Consider reaching out to trusted friends, family, community groups, or local support resources in Mumbai."
Mumbai,India,Lower-Middle,SEAR,S2,Moderate,Feeling anxious and overwhelmed for several weeks can be exhausting. Consider speaking with a healthcare professional if these feelings persist.
Mumbai,India,Lower-Middle,SEAR,S3,Moderate,"Panic attacks can feel frightening. Try slow breathing and grounding techniques, and seek professional support if symptoms continue."
Mumbai,India,Lower-Middle,SEAR,S4,Moderate,Losing a job can affect emotional wellbeing and financial stability. Focus on practical next steps and seek support from trusted people.
Mumbai,India,Lower-Middle,SEAR,S5,Moderate,Caring for a family member with a long-term illness can be emotionally exhausting. Consider caregiver support and community resources.
Mumbai,India,Lower-Middle,SEAR,S6,Low,Persistent insomnia can affect both physical and mental health. Consider discussing ongoing sleep difficulties with a healthcare professional.
Mumbai,India,Lower-Middle,SEAR,S7,High,The end of a relationship can bring intense grief and sadness. Seek support from trusted people and counselling services if available.
Mumbai,India,Lower-Middle,SEAR,S8,High,"If you feel completely hopeless or unable to continue, seek immediate support from emergency services, a healthcare professional, or someone you trust."
Cairo,Egypt,Lower-Middle,EMR,S1,Low,"Feeling lonely and disconnected can be difficult. Consider reaching out to trusted friends, family, community groups, or local support resources in Cairo."
Cairo,Egypt,Lower-Middle,EMR,S2,Moderate,Feeling anxious and overwhelmed for several weeks can be exhausting. Consider speaking with a healthcare professional if these feelings persist.
Cairo,Egypt,Lower-Middle,EMR,S3,Moderate,"Panic attacks can feel frightening. Try slow breathing and grounding techniques, and seek professional support if symptoms continue."
Cairo,Egypt,Lower-Middle,EMR,S4,Moderate,Losing a job can affect emotional wellbeing and financial stability. Focus on practical next steps and seek support from trusted people.
Cairo,Egypt,Lower-Middle,EMR,S5,Moderate,Caring for a family member with a long-term illness can be emotionally exhausting. Consider caregiver support and community resources.
Cairo,Egypt,Lower-Middle,EMR,S6,Low,Persistent insomnia can affect both physical and mental health. Consider discussing ongoing sleep difficulties with a healthcare professional.
Cairo,Egypt,Lower-Middle,EMR,S7,High,The end of a relationship can bring intense grief and sadness. Seek support from trusted people and counselling services if available.
Cairo,Egypt,Lower-Middle,EMR,S8,High,"If you feel completely hopeless or unable to continue, seek immediate support from emergency services, a healthcare professional, or someone you trust."
Jakarta,Indonesia,Lower-Middle,WPR,S1,Low,"Feeling lonely and disconnected can be difficult. Consider reaching out to trusted friends, family, community groups, or local support resources in Jakarta."
Jakarta,Indonesia,Lower-Middle,WPR,S2,Moderate,Feeling anxious and overwhelmed for several weeks can be exhausting. Consider speaking with a healthcare professional if these feelings persist.
Jakarta,Indonesia,Lower-Middle,WPR,S3,Moderate,"Panic attacks can feel frightening. Try slow breathing and grounding techniques, and seek professional support if symptoms continue."
Jakarta,Indonesia,Lower-Middle,WPR,S4,Moderate,Losing a job can affect emotional wellbeing and financial stability. Focus on practical next steps and seek support from trusted people.
Jakarta,Indonesia,Lower-Middle,WPR,S5,Moderate,Caring for a family member with a long-term illness can be emotionally exhausting. Consider caregiver support and community resources.
Jakarta,Indonesia,Lower-Middle,WPR,S6,Low,Persistent insomnia can affect both physical and mental health. Consider discussing ongoing sleep difficulties with a healthcare professional.
Jakarta,Indonesia,Lower-Middle,WPR,S7,High,The end of a relationship can bring intense grief and sadness. Seek support from trusted people and counselling services if available.
Jakarta,Indonesia,Lower-Middle,WPR,S8,High,"If you feel completely hopeless or unable to continue, seek immediate support from emergency services, a healthcare professional, or someone you trust."
Kyiv,Ukraine,Lower-Middle,EUR,S1,Low,"Feeling lonely and disconnected can be difficult. Consider reaching out to trusted friends, family, community groups, or local support resources in Kyiv."
Kyiv,Ukraine,Lower-Middle,EUR,S2,Moderate,Feeling anxious and overwhelmed for several weeks can be exhausting. Consider speaking with a healthcare professional if these feelings persist.
Kyiv,Ukraine,Lower-Middle,EUR,S3,Moderate,"Panic attacks can feel frightening. Try slow breathing and grounding techniques, and seek professional support if symptoms continue."
Kyiv,Ukraine,Lower-Middle,EUR,S4,Moderate,Losing a job can affect emotional wellbeing and financial stability. Focus on practical next steps and seek support from trusted people.
Kyiv,Ukraine,Lower-Middle,EUR,S5,Moderate,Caring for a family member with a long-term illness can be emotionally exhausting. Consider caregiver support and community resources.
Kyiv,Ukraine,Lower-Middle,EUR,S6,Low,Persistent insomnia can affect both physical and mental health. Consider discussing ongoing sleep difficulties with a healthcare professional.
Kyiv,Ukraine,Lower-Middle,EUR,S7,High,The end of a relationship can bring intense grief and sadness. Seek support from trusted people and counselling services if available.
Kyiv,Ukraine,Lower-Middle,EUR,S8,High,"If you feel completely hopeless or unable to continue, seek immediate support from emergency services, a healthcare professional, or someone you trust."
Kinshasa,DR Congo,Low,AFR,S1,Low,"Feeling lonely and disconnected can be difficult. Consider reaching out to trusted friends, family, community groups, or local support resources in Kinshasa."
Kinshasa,DR Congo,Low,AFR,S2,Moderate,Feeling anxious and overwhelmed for several weeks can be exhausting. Consider speaking with a healthcare professional if these feelings persist.
Kinshasa,DR Congo,Low,AFR,S3,Moderate,"Panic attacks can feel frightening. Try slow breathing and grounding techniques, and seek professional support if symptoms continue."
Kinshasa,DR Congo,Low,AFR,S4,Moderate,Losing a job can affect emotional wellbeing and financial stability. Focus on practical next steps and seek support from trusted people.
Kinshasa,DR Congo,Low,AFR,S5,Moderate,Caring for a family member with a long-term illness can be emotionally exhausting. Consider caregiver support and community resources.
Kinshasa,DR Congo,Low,AFR,S6,Low,Persistent insomnia can affect both physical and mental health. Consider discussing ongoing sleep difficulties with a healthcare professional.
Kinshasa,DR Congo,Low,AFR,S7,High,The end of a relationship can bring intense grief and sadness. Seek support from trusted people and counselling services if available.
Kinshasa,DR Congo,Low,AFR,S8,High,"If you feel completely hopeless or unable to continue, seek immediate support from emergency services, a healthcare professional, or someone you trust."
Kabul,Afghanistan,Low,EMR,S1,Low,"Feeling lonely and disconnected can be difficult. Consider reaching out to trusted friends, family, community groups, or local support resources in Kabul."
Kabul,Afghanistan,Low,EMR,S2,Moderate,Feeling anxious and overwhelmed for several weeks can be exhausting. Consider speaking with a healthcare professional if these feelings persist.
Kabul,Afghanistan,Low,EMR,S3,Moderate,"Panic attacks can feel frightening. Try slow breathing and grounding techniques, and seek professional support if symptoms continue."
Kabul,Afghanistan,Low,EMR,S4,Moderate,Losing a job can affect emotional wellbeing and financial stability. Focus on practical next steps and seek support from trusted people.
Kabul,Afghanistan,Low,EMR,S5,Moderate,Caring for a family member with a long-term illness can be emotionally exhausting. Consider caregiver support and community resources.
Kabul,Afghanistan,Low,EMR,S6,Low,Persistent insomnia can affect both physical and mental health. Consider discussing ongoing sleep difficulties with a healthcare professional.
Kabul,Afghanistan,Low,EMR,S7,High,The end of a relationship can bring intense grief and sadness. Seek support from trusted people and counselling services if available.
Kabul,Afghanistan,Low,EMR,S8,High,"If you feel completely hopeless or unable to continue, seek immediate support from emergency services, a healthcare professional, or someone you trust."
Kathmandu,Nepal,Low,SEAR,S1,Low,"Feeling lonely and disconnected can be difficult. Consider reaching out to trusted friends, family, community groups, or local support resources in Kathmandu."
Kathmandu,Nepal,Low,SEAR,S2,Moderate,Feeling anxious and overwhelmed for several weeks can be exhausting. Consider speaking with a healthcare professional if these feelings persist.
Kathmandu,Nepal,Low,SEAR,S3,Moderate,"Panic attacks can feel frightening. Try slow breathing and grounding techniques, and seek professional support if symptoms continue."
Kathmandu,Nepal,Low,SEAR,S4,Moderate,Losing a job can affect emotional wellbeing and financial stability. Focus on practical next steps and seek support from trusted people.
Kathmandu,Nepal,Low,SEAR,S5,Moderate,Caring for a family member with a long-term illness can be emotionally exhausting. Consider caregiver support and community resources.
Kathmandu,Nepal,Low,SEAR,S6,Low,Persistent insomnia can affect both physical and mental health. Consider discussing ongoing sleep difficulties with a healthcare professional.
Kathmandu,Nepal,Low,SEAR,S7,High,The end of a relationship can bring intense grief and sadness. Seek support from trusted people and counselling services if available.
Kathmandu,Nepal,Low,SEAR,S8,High,"If you feel completely hopeless or unable to continue, seek immediate support from emergency services, a healthcare professional, or someone you trust."
Antananarivo,Madagascar,Low,AFR,S1,Low,"Feeling lonely and disconnected can be difficult. Consider reaching out to trusted friends, family, community groups, or local support resources in Antananarivo."
Antananarivo,Madagascar,Low,AFR,S2,Moderate,Feeling anxious and overwhelmed for several weeks can be exhausting. Consider speaking with a healthcare professional if these feelings persist.
Antananarivo,Madagascar,Low,AFR,S3,Moderate,"Panic attacks can feel frightening. Try slow breathing and grounding techniques, and seek professional support if symptoms continue."
Antananarivo,Madagascar,Low,AFR,S4,Moderate,Losing a job can affect emotional wellbeing and financial stability. Focus on practical next steps and seek support from trusted people.
Antananarivo,Madagascar,Low,AFR,S5,Moderate,Caring for a family member with a long-term illness can be emotionally exhausting. Consider caregiver support and community resources.
Antananarivo,Madagascar,Low,AFR,S6,Low,Persistent insomnia can affect both physical and mental health. Consider discussing ongoing sleep difficulties with a healthcare professional.
Antananarivo,Madagascar,Low,AFR,S7,High,The end of a relationship can bring intense grief and sadness. Seek support from trusted people and counselling services if available.
Antananarivo,Madagascar,Low,AFR,S8,High,"If you feel completely hopeless or unable to continue, seek immediate support from emergency services, a healthcare professional, or someone you trust."
Damascus,Syria,Low,EMR,S1,Low,"Feeling lonely and disconnected can be difficult. Consider reaching out to trusted friends, family, community groups, or local support resources in Damascus."
Damascus,Syria,Low,EMR,S2,Moderate,Feeling anxious and overwhelmed for several weeks can be exhausting. Consider speaking with a healthcare professional if these feelings persist.
Damascus,Syria,Low,EMR,S3,Moderate,"Panic attacks can feel frightening. Try slow breathing and grounding techniques, and seek professional support if symptoms continue."
Damascus,Syria,Low,EMR,S4,Moderate,Losing a job can affect emotional wellbeing and financial stability. Focus on practical next steps and seek support from trusted people.
Damascus,Syria,Low,EMR,S5,Moderate,Caring for a family member with a long-term illness can be emotionally exhausting. Consider caregiver support and community resources.
Damascus,Syria,Low,EMR,S6,Low,Persistent insomnia can affect both physical and mental health. Consider discussing ongoing sleep difficulties with a healthcare professional.
Damascus,Syria,Low,EMR,S7,High,The end of a relationship can bring intense grief and sadness. Seek support from trusted people and counselling services if available.
Damascus,Syria,Low,EMR,S8,High,"If you feel completely hopeless or unable to continue, seek immediate support from emergency services, a healthcare professional, or someone you trust."
